player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Alec Martinez #25,F,0.05,0.043,0.005,0.003,33,47,3.9,3.17,723,T4
Maxim Tsyplakov #7,F,0.051,0.039,0.011,0.0,34,42,2.49,2.45,1013,T3
Noel Acciari #55,F,0.051,0.034,0.017,0.0,33,69,4.71,2.44,878,T4
Fedor Svechkov #40,F,0.051,0.047,0.004,0.0,25,36,3.8,2.59,569,T4
Reilly Smith #91,F,0.051,0.046,0.003,0.002,32,59,3.15,2.56,1125,T2
Cole Sillinger #4,F,0.051,0.026,0.025,0.0,33,65,4.46,2.82,874,T4
Ryan Donato #8,F,0.052,0.046,0.006,0.0,44,69,3.79,2.87,1093,T2
Tyson Foerster #71,F,0.052,0.04,0.011,0.0,35,58,3.25,2.17,1072,T2
Quinton Byfield #55,F,0.052,0.027,0.025,0.0,28,58,2.81,2.09,1239,T1
Jamie Benn #14,F,0.053,0.031,0.013,0.009,31,64,3.34,2.88,1149,T2
Anze Kopitar #11,F,0.053,0.053,0.0,0.0,34,67,3.28,2.53,1226,T1
Mark Scheifele #55,F,0.053,0.039,0.014,0.0,38,73,2.92,2.58,1500,T1
Keegan Kolesar #55,F,0.053,0.047,0.006,0.0,31,52,2.7,2.39,1155,T2
Sidney Crosby #87,F,0.053,0.037,0.006,0.011,57,99,4.67,2.9,1273,T1
Gabriel Vilardi #13,F,0.054,0.04,0.014,0.0,29,56,2.84,2.51,1184,T2
Bobby Brink #10,F,0.054,0.034,0.005,0.015,38,51,3.16,2.23,969,T3
Dylan Cozens #24,F,0.054,0.031,0.017,0.006,46,84,4.4,2.86,1144,T2
Ryan McLeod #71,F,0.055,0.029,0.025,0.001,39,72,4.2,2.7,1028,T3
Matt Boldy #12,F,0.055,0.046,0.009,0.0,26,73,3.21,2.3,1365,T1
John Tavares #91,F,0.055,0.039,0.016,0.0,32,68,3.25,2.65,1255,T1
Ryan Poehling #25,F,0.055,0.044,0.011,0.0,27,52,3.92,2.03,795,T4
Teddy Blueger #53,F,0.056,0.046,0.009,0.0,33,50,3.1,2.43,968,T3
Jiri Kulich #20,F,0.056,0.056,0.0,0.0,33,44,3.41,2.78,774,T4
Egor Zamula #5,F,0.057,0.039,0.018,0.0,42,53,3.36,2.04,945,T4
Alex DeBrincat #93,F,0.058,0.048,0.01,0.0,39,61,3.19,2.62,1146,T2
Christian Dvorak #28,F,0.058,0.039,0.019,0.0,38,69,3.9,2.67,1060,T3
Pierre-Olivier Joseph #77,F,0.059,0.052,0.006,0.0,28,46,4.25,2.51,649,T4
Auston Matthews #34,F,0.059,0.02,0.02,0.02,28,78,4.1,2.49,1142,T2
Tom Wilson #43,F,0.059,0.018,0.028,0.013,41,71,3.48,2.55,1223,T1
Oliver Bjorkstrand #22,F,0.06,0.052,0.002,0.005,26,42,2.61,2.32,967,T3
Sean Kuraly #7,F,0.06,0.056,0.004,0.0,29,41,2.82,2.52,872,T4
Teuvo Teravainen #86,F,0.06,0.05,0.01,0.0,38,72,4.16,2.44,1038,T3
Joel Armia #40,F,0.06,0.044,0.016,0.0,37,64,4.26,2.61,902,T4
Nick Suzuki #14,F,0.06,0.048,0.012,0.0,37,71,3.36,2.95,1266,T1
Kirby Dach #77,F,0.06,0.042,0.018,0.0,31,46,3.87,3.03,712,T4
Carl Grundstrom #91,F,0.061,0.06,0.001,0.0,27,35,4.01,2.43,523,T4
Mats Zuccarello #36,F,0.061,0.048,0.012,0.0,31,56,2.93,2.46,1147,T2
Chandler Stephenson #9,F,0.061,0.043,0.018,0.0,43,83,4.66,3.01,1070,T3
Shane Pinto #12,F,0.061,0.043,0.019,0.0,32,60,3.47,2.33,1036,T3
Logan Stankoven #22,F,0.062,0.061,0.0,0.0,31,53,2.67,2.55,1190,T2
Ilya Mikheyev #95,F,0.063,0.055,0.004,0.003,45,72,4.12,2.3,1049,T3
Jason Robertson #21,F,0.063,0.046,0.017,0.0,42,66,3.12,2.54,1270,T1
Sam Bennett #9,F,0.063,0.046,0.016,0.002,42,74,3.2,2.54,1390,T1
Morgan Frost #48,F,0.063,0.057,0.006,0.0,36,50,2.97,2.2,1009,T3
