rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
144,Andrew Copp,DET,F,hi,38,0.2062,59.0,2.57,2.35
145,John Tavares,TOR,F,hi,67,0.2061,59.0,2.87,3.38
146,Mason McTavish,ANA,F,mid,56,0.206,60.0,3.16,3.65
147,Vincent Trocheck,NYR,F,mid,42,0.2059,59.0,2.87,2.63
148,Claude Giroux,OTT,F,mid,38,0.2059,58.0,2.18,2.21
149,Joel Eriksson Ek,MIN,F,mid,28,0.2059,57.0,2.66,2.03
150,Elias Pettersson,VAN,F,mid,46,0.2058,56.0,3.12,3.15
151,Oliver Kapanen,MTL,F,mid,47,0.2054,55.0,3.32,3.08
152,Bryan Rust,PIT,F,mid,56,0.2054,54.0,3.04,3.11
153,Seth Jarvis,CAR,F,mid,51,0.2054,54.0,2.64,2.81
154,Nazem Kadri,CGY,F,hi,55,0.2052,58.0,2.86,2.91
155,Nikolaj Ehlers,CAR,F,hi,51,0.2049,57.0,2.38,2.47
156,J.T. Compher,DET,F,hi,51,0.2048,56.0,2.96,3.16
157,Alex Turcotte,LAK,F,lo,27,0.2048,52.0,2.4,2.71
158,Anthony Duclair,NYI,F,lo,25,0.2047,51.0,3.3,2.0
159,Marat Khusnutdinov,BOS,F,mid,34,0.2047,53.0,2.84,2.05
160,Pavel Dorofeyev,VGK,F,hi,48,0.2046,55.0,2.14,2.14
161,Alexandre Texier,MTL,F,lo,25,0.2045,50.0,2.78,1.65
162,Alex Killorn,ANA,F,hi,54,0.2045,54.0,2.84,2.61
163,Jordan Martinook,CAR,F,mid,55,0.2045,52.0,2.44,2.73
164,Cole Smith,NSH,F,lo,32,0.2045,49.0,2.38,2.42
165,Ben Kindel,PIT,F,mid,45,0.2045,51.0,2.76,2.57
166,Evan Rodrigues,FLA,F,mid,45,0.2044,50.0,2.37,3.0
167,Alex Laferriere,LAK,F,hi,50,0.2044,53.0,2.48,2.09
168,Alex Tuch,BUF,F,hi,51,0.2044,52.0,2.71,2.27
169,Shane Pinto,OTT,F,mid,48,0.2043,49.0,2.21,2.62
170,Danila Yurov,MIN,F,mid,41,0.2042,48.0,2.49,2.81
171,Jordan Kyrou,STL,F,mid,39,0.2042,47.0,2.05,2.47
172,Dawson Mercer,NJD,F,hi,41,0.2041,51.0,2.62,2.44
173,Jack Drury,COL,F,mid,35,0.2041,46.0,1.96,1.84
174,Linus Karlsson,VAN,F,lo,56,0.2041,48.0,2.8,4.44
175,Jonathan Toews,WPG,F,mid,36,0.2039,46.0,2.63,2.23
176,Brett Howden,VGK,F,lo,42,0.2039,47.0,2.35,2.88
177,Charlie Coyle,CBJ,F,hi,41,0.2039,50.0,2.49,2.12
178,Ross Colton,COL,F,lo,36,0.2039,46.0,2.41,2.42
179,Anders Lee,NYI,F,hi,43,0.2038,50.0,3.05,2.46
180,Tomas Hertl,VGK,F,hi,54,0.2038,49.0,2.2,3.04
181,Eeli Tolvanen,SEA,F,mid,42,0.2038,45.0,3.01,2.76
182,Casey Cizikas,NYI,F,lo,27,0.2036,45.0,2.25,2.06
183,Easton Cowan,TOR,F,lo,27,0.2035,45.0,3.03,2.02
184,Calum Ritchie,NYI,F,lo,27,0.2034,44.0,3.09,2.5
185,Troy Terry,ANA,F,lo,44,0.2034,43.0,2.79,2.99
186,Liam Ohgren,VAN,F,lo,37,0.2034,42.0,3.09,2.97
187,Tom Wilson,WSH,F,mid,41,0.2034,44.0,2.51,2.19
188,Jason Dickinson,CHI,F,lo,40,0.2034,41.0,2.63,2.89
189,Ryan Greene,CHI,F,hi,51,0.2033,48.0,3.51,3.21
190,Vladimir Tarasenko,MIN,F,mid,36,0.2033,43.0,2.79,2.31
191,Corey Perry,LAK,F,lo,28,0.2031,40.0,2.45,1.7
192,Drew O'Connor,VAN,F,hi,45,0.2031,47.0,2.97,2.76
193,Kirill Kaprizov,MIN,F,hi,55,0.2031,46.0,2.59,2.46
194,Miles Wood,CBJ,F,lo,28,0.2029,39.0,2.87,3.2
195,Jean-Gabriel Pageau,NYI,F,mid,37,0.2028,42.0,3.17,2.72
196,William Eklund,SJS,F,hi,62,0.2028,45.0,2.81,3.35
197,Ty Dellandrea,SJS,F,lo,27,0.2026,38.0,3.23,3.85
198,Kirby Dach,MTL,F,lo,29,0.2026,37.0,2.72,3.0
199,William Nylander,TOR,F,mid,59,0.2025,41.0,3.05,3.77
200,Elias Lindholm,BOS,F,mid,43,0.2025,40.0,3.02,2.93
201,Quinton Byfield,LAK,F,hi,48,0.2024,44.0,2.52,2.45
202,Alexey Toropchenko,STL,F,lo,28,0.2021,36.0,2.47,2.74
203,Matias Maccelli,TOR,F,mid,48,0.202,39.0,2.74,3.51
204,Beck Malenstyn,BUF,F,lo,25,0.202,35.0,2.47,2.0
205,Jake Evans,MTL,F,lo,33,0.2018,35.0,2.58,2.4
206,Max Sasson,VAN,F,lo,34,0.2017,34.0,2.97,3.1
207,Connor McMichael,WSH,F,mid,45,0.2017,38.0,3.09,2.77
208,Michael Amadio,OTT,F,hi,45,0.2016,43.0,2.2,2.49
209,Juraj Slafkovský,MTL,F,hi,61,0.2016,42.0,3.02,2.21
210,Leon Draisaitl,EDM,F,hi,56,0.2015,41.0,2.69,2.88
211,Bobby Brink,PHI,F,mid,32,0.2015,38.0,2.17,2.01
212,Ivan Demidov,MTL,F,mid,45,0.2013,37.0,2.92,2.96
213,Brock Boeser,VAN,F,hi,56,0.2011,41.0,3.19,3.72
214,Sam Reinhart,FLA,F,mid,40,0.2011,36.0,2.43,2.54
215,Dmitri Voronkov,CBJ,F,lo,25,0.2011,33.0,2.57,2.14
216,Bobby McMann,TOR,F,hi,49,0.2011,40.0,2.88,2.89
217,Ryan McLeod,BUF,F,hi,56,0.2011,39.0,2.85,2.83
218,Lucas Raymond,DET,F,hi,53,0.2008,38.0,2.75,2.68
219,Cutter Gauthier,ANA,F,mid,58,0.2007,35.0,3.1,3.37
220,Joe Veleno,MTL,F,lo,29,0.2006,32.0,2.4,2.8
221,Trent Frederic,EDM,F,lo,33,0.2004,31.0,2.41,2.39
222,Dylan Cozens,OTT,F,hi,38,0.2003,37.0,2.08,2.45
223,Sean Monahan,CBJ,F,mid,40,0.2003,34.0,2.78,2.59
224,Hendrix Lapierre,WSH,F,lo,26,0.2002,30.0,2.3,2.26
225,Nino Niederreiter,WPG,F,lo,28,0.2001,29.0,2.54,2.31
226,Josh Doan,BUF,F,hi,47,0.2001,36.0,2.7,2.86
